key,label,scope
acoustic_rating_db,Acoustic Rating (dB),fire_door_line_items
additional_notes,Additional Details,client
area_m2,Project Area (m²),internal
budget_range,Budget Range,client
contact_name,Your Name,client
custom_finish,Custom Finish,quote_details
date_received,Date Received,item
date_required,Date Required,fire_door_schedule
door_height_mm,Approx Height (mm),quote_details
door_ref,Door Reference,fire_door_line_items
door_set_type,Doorset Type,fire_door_line_items
door_type,Door Type,quote_details
door_width_mm,Door Width (mm),quote_details
email,Email Address,client
final_height_mm,Final Height (mm),manufacturing
final_width_mm,Final Width (mm),manufacturing
finish,Finish,quote_details
fire_rated,Fire Rated,fire_door_schedule
fire_rating,Fire Rating,fire_door_line_items
glass_expected_at,Glass - Expected,item
glass_ordered_at,Glass - Ordered,item
glass_received_at,Glass - Received,item
glazed_area,Glazed Area,fire_door_line_items
glazing_type,Glazing Type,quote_details
has_curves,Curved or Arched Design,quote_details
installation_date,Installation Date,manufacturing
installation_end_date,Installation End Date,manufacturing
installation_required,Installation Required,client
installation_start_date,Installation Start Date,manufacturing
ironmongery_expected_at,Ironmongery - Expected,item
ironmongery_level,Ironmongery Level,quote_details
ironmongery_ordered_at,Ironmongery - Ordered,item
ironmongery_received_at,Ironmongery - Received,item
item_height_mm,Height (mm),item
item_width_mm,Width (mm),item
job_location,Job Location,fire_door_schedule
lead_source,How did you hear about us?,client
leaf_height_mm,Leaf Height (mm),fire_door_line_items
leaf_thickness_mm,Leaf Thickness (mm),fire_door_line_items
leaf_width_mm,Leaf Width (mm),fire_door_line_items
manufacturing_end_date,Manufacturing End Date,manufacturing
manufacturing_start_date,Manufacturing Start Date,manufacturing
materials_grade,Materials Grade,quote_details
mjs_number,MJS Number,fire_door_schedule
num_doors,Number of Doors,item
num_windows,Number of Windows,item
paint_expected_at,Paint - Expected,item
paint_ordered_at,Paint - Ordered,item
paint_received_at,Paint - Received,item
phone,Phone Number,client
po_number,PO Number,fire_door_schedule
premium_hardware,Premium Hardware,quote_details
production_notes,Production Notes,manufacturing
project_description,Project Description,public
project_type,Project Type,internal
property_listed,Listed Building,client
quantity,Quantity,quote_details
region,Project Location,client
sign_off_status,Sign Off Status,fire_door_schedule
timber_expected_at,Timber - Expected,item
timber_ordered_at,Timber - Ordered,item
timber_received_at,Timber - Received,item
timber_type,Timber Type,quote_details
timeframe,Project Timeframe,client
window_style,Window Style,quote_details
